=== ALL PUBLIC TABLES — 625 total ===

Table                                         RLS  Pol  Cols  Rows      Size      
pricing_analytics                             ON   1    18    0         16 KB     
pricing_logs                                  ON   1    19    0         24 KB     
pricing_rules                                 ON   1    15    0         16 KB     
profiles                                      ON   1    7     1         32 KB     
project                                       ON   1    8     1         32 KB     
project_relation                              ON   1    5     1         96 KB     
proposals                                     ON   6    25    1         32 KB     
providers                                     ON   1    13    0         24 KB     
rate_limits                                   ON   1    11    0         32 KB     
re_api_keys                                   ON   4    17    0         48 KB     
re_automation_log                             ON   6    11    47        112 KB    
re_clients                                    ON   6    42    38        128 KB    
re_commissions                                ON   3    12    8         64 KB     
re_compliance_alerts                          ON   3    9     612       232 KB    
re_cross_border_rules                         ON   2    29    13        104 KB    
re_deal_orchestrations                        ON   4    22    0         56 KB     
re_deals                                      ON   6    64    18        96 KB     
re_documents                                  ON   6    16    8         64 KB     
re_eoi                                        ON   6    20    5         48 KB     
re_investment_portfolio                       ON   4    39    2         80 KB     
re_investment_routes                          ON   3    14    0         32 KB     
re_lead_scores                                ON   4    21    38        208 KB    
re_listings                                   ON   6    61    49        152 KB    
re_market_data                                ON   6    10    40        112 KB    
re_market_forecasts                           ON   4    25    677       1 MB      
re_matches                                    ON   4    10    0         48 KB     
re_mortgage_banks                             ON   2    16    9         48 KB     
re_offplan_projects                           ON   4    30    60        240 KB    
re_portal_credentials                         ON   3    12    0         32 KB     
re_portal_sync_log                            ON   5    17    4         64 KB     
re_price_predictions                          ON   5    42    5         88 KB     
re_region_config                              ON   2    49    8         112 KB    
re_road_shows                                 ON   6    21    4         48 KB     
re_training_knowledge                         ON   2    15    28        120 KB    
re_viewings                                   ON   6    19    33        80 KB     
re_whatsapp_journeys                          ON   4    19    1         96 KB     
recruitment_campaigns                         ON   1    12    0         16 KB     
referrals                                     ON   5    18    2         32 KB     
reminders                                     ON   1    12    0         16 KB     
reply_events                                  ON   5    13    8         64 KB     
reply_routing_rules                           ON   5    12    200       216 KB    
restaurant_inventory                          ON   1    15    0         24 KB     
restaurant_kitchen_display                    ON   1    11    0         24 KB     
restaurant_menus                              ON   5    8     3         80 KB     
restaurant_orders                             ON   1    35    0         40 KB     
restaurant_reservations                       ON   5    16    3         48 KB     
revenue_attribution                           ON   3    18    0         56 KB     
revenue_forecasts                             ON   1    21    0         16 KB     
review_response_templates                     ON   1    12    4         32 KB     
reviews                                       ON   1    13    0         16 KB     
role                                          ON   1    7     13        48 KB     
role_permissions                              ON   2    7     270       136 KB    
role_scope                                    ON   1    2     422       152 KB    
roles                                         ON   2    13    5         64 KB     
sales_ab_assignments                          ON   3    11    0         48 KB     
sales_ab_tests                                ON   3    23    0         48 KB     
sales_analytics_by_rep                        ON   1    19    0         40 KB     
sales_analytics_daily                         ON   1    29    0         24 KB     
sales_assignment_rules                        ON   1    14    0         32 KB     
sales_assignments                             ON   1    14    0         40 KB     
sales_availability                            ON   1    9     0         16 KB     
sales_calendar_events                         ON   1    25    0         56 KB     
sales_calls                                   ON   2    22    0         48 KB     
sales_communication_limits                    ON   1    14    0         24 KB     
sales_compliance_log                          ON   1    10    0         40 KB     
sales_consent_records                         ON   3    18    0         64 KB     
sales_conversations                           ON   4    27    0         104 KB    
sales_deals                                   ON   1    19    0         16 KB     
sales_do_not_contact                          ON   4    12    0         88 KB     
sales_email_verification                      ON   1    17    0         40 KB     
sales_emails                                  ON   1    17    0         16 KB     
sales_lead_assignments                        ON   1    12    0         24 KB     
sales_leads                                   ON   1    202   1085      7 MB      
sales_marketing_bridge                        ON   6    11    0         24 KB     
sales_phone_validation                        ON   5    13    0         24 KB     
sales_referrals                               ON   1    17    0         40 KB     
sales_sequences                               ON   5    17    14        112 KB    
sales_team_members                            ON   6    20    0         56 KB     
sales_territories                             ON   1    12    0         24 KB     
scheduled_messages                            ON   1    15    0         40 KB     
scope                                         ON   1    3     174       64 KB     
scraped_content                               ON   0    12    5         64 KB     
security_deposits                             ON   1    18    4         48 KB     
send_time_preferences                         ON   5    13    95        96 KB     
sending_accounts                              ON   5    31    4         104 KB    
seo_content_scores                            ON   5    21    2         64 KB     
seo_keyword_tracking                          ON   5    14    10        64 KB     
sequence_ab_tests                             ON   1    21    217       360 KB    
sequence_enrollments                          ON   5    43    0         208 KB    
sequence_step_history                         ON   5    24    0         48 KB     
sequence_templates                            ON   5    18    75        152 KB    
sequences                                     ON   1    24    91        368 KB    
service_visits                                ON   1    13    6         48 KB     
services                                      ON   5    12    29        80 KB     
services_catalog                              ON   2    21    16        64 KB     
settings                                      ON   1    3     7         32 KB     
shared_credentials                            ON   1    5     50        32 KB     
shared_workflow                               ON   1    5     43        32 KB     
signed_consents                               ON   2    20    0         16 KB     
sla_breaches                                  ON   1    8     274364    50 MB     
sla_policies                                  ON   1    10    80        80 KB     
smart_tasks                                   ON   5    21    0         48 KB     
social_accounts                               ON   5    19    8         48 KB     
social_content_posts                          ON   5    23    16        144 KB    
social_mentions                               ON   5    19    10        72 KB     
social_post_queue                             ON   5    17    7655      6 MB      
social_posts                                  ON   5    26    274       240 KB    
